"Symbol","Name","IPO date","Market cap","Merger pending?","Leverage factor","Momentum factor 10","Momentum factor 200","P/B","Shares outstanding","Average trading volume","% traded","Action"
"TRNE","Trine Acquisition Corp. Class A","05/03/2019","$457,353,563","Y","1.05","1.10","1.17","1.26","30,015,000","1,046,076","3.49%","Analyze"
"CRSA","Crescent Acquisition Corp - Class A","04/16/2019","$318,437,500","Y","1.04","1.01","1.02","1.04","25,000,000","38,344","0.15%","Analyze"
"ACAM","Acamar Partners Acquisition Corp. - Class A","04/15/2019","$389,602,566","Y","1.04","1.00","1.01","1.04","30,557,000","240,632","0.79%","Analyze"
"RPLA","Replay Acquisition Corp.","04/03/2019","$446,043,130","Y","1.04","1.00","1.01","1.28","35,938,000","62,498","0.17%","Analyze"
"THCB","Tuscan Holdings Corp.","03/27/2019","$437,554,710","N","1.00","1.14","1.22","1.55","35,487,000","2,140,118","6.03%","Analyze"
"GMHI","Gores Metropoulos, Inc. - Class A","03/25/2019","$769,500,000","Y","1.04","1.29","1.44","1.58","40,000,000","2,540,211","6.35%","Analyze"
"MNCL","Monocle Acquisition Corporation","02/28/2019","$233,048,800","Y","35.46","1.07","1.08","49.02","22,280,000","16,325","0.07%","Analyze"
"SAMA","Schultze Special Purpose Acquisition Corp.","01/09/2019","$122,230,056","Y","1.00","1.01","1.02","0.92","11,741,600","296,898","2.53%","Analyze"
"ARYA","ARYA Sciences Acquisition Corp III - Class A","12/12/2018","$198,772,140","Y","1.04","1.00","0.93","1.37","19,186,500","8,005","0.04%","Analyze"
"ALAC","Alberton Acquisition Corporation","11/21/2018","$168,198,210","Y","1.94","1.05","1.07","21.46","14,689,800","5,509","0.04%","Analyze"
"TZAC","Tenzing Acquisition Corp.","10/18/2018","$111,712,574","N","1.15","1.00","1.02","1.85","5,124,430","39,724","0.78%","Analyze"
"LOAC","Longevity Acquisition Corporation","10/16/2018","$27,857,828","Y","1.27","1.00","1.04","2.52","2,626,820","10,159","0.39%","Analyze"
"MFAC","Megalith Financial Acquisition Corp. Class A","09/21/2018","$77,614,470","Y","1.30","1.00","1.00","1.31","3,195,000","43,542","1.36%","Analyze"
